Image,BarcodeData,BarcodeType
20250902_175440_046_DEV_1AB22C00C5A5.jpg,NO BARCODE FOUND,N/A
20250902_175440_288_DEV_1AB22C00C5A5.jpg,6222014336140,EAN13
20250902_175441_071_DEV_1AB22C00C5A5.jpg,6223001875246,EAN13
20250902_175441_421_DEV_1AB22C00C5A5.jpg,6224001167423,EAN13
20250902_175442_004_DEV_1AB22C00C5A5.jpg,6222014336140,EAN13
20250902_175442_533_DEV_1AB22C00C5A5.jpg,6222014330537,EAN13
20250902_175444_641_DEV_1AB22C00C5A5.jpg,NO BARCODE FOUND,N/A
20250902_175444_897_DEV_1AB22C00C5A5.jpg,6222014336140,EAN13
20250902_175445_654_DEV_1AB22C00C5A5.jpg,6223001875246,EAN13
20250902_175445_993_DEV_1AB22C00C5A5.jpg,6224001167423,EAN13
20250902_175446_572_DEV_1AB22C00C5A5.jpg,6222014336140,EAN13
20250902_175447_004_DEV_1AB22C00C5A5.jpg,6222014330537,EAN13
